source,date,apiURL,url,sku,name,brand,stock,advance,paymentAmount,phoneContractDuration,sim_price,simContractname,simContractDuration,phoneContractPrice,isPhoneContractAvailableWOsim,phoneContractSimPackage,handsetOnlyCostCash,handsetOnlyContract,previousPrice,onSale,saleText,plan_type,sim_data,simOfferData,sim1YearIncrease,sim2YearIncrease,sim3YearIncrease,simDesc,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP312LUN,1SAP312LUN,Galaxy S25 Ultra 5G 512GB Titanium Silverblue,Samsung,Y,30.0,36.64,36,81.63,30GB Ultimate,24,1349.04,N,1349.04,1349.0,,,,,contract,30GB Ultimate,,£84.13,£86.63,,"Covers repair or replacement of your phone and includes damage (except cosmetic damage), theft (unless left unattended without proof of protection), accidental loss, breakdown (within 3 years of purchase date from O2), accessories purchased from O2 (up to £300) that are accidentally lost, stolen, or damaged at the same time as your phone or device, plus Worldwide cover | Same day delivery, excluding weekends and public holidays, Northern Ireland, certain postcodes in Scotland, Isle of Man and Scilly Isles | Successful claims must be made by 12 noon UK time | Make a claim online at https://www.o2.co.uk/insurance-claim | Repair or Replacement delivery available to a UK address only (Monday to Friday inclusive, exceptions &amp; exclusions apply) | Claims for loss and theft will be settled from refurbished or remanufactured stock | You can cancel at any time via My O2 | See https://www.o2.co.uk/help/digital-services/o2-insurance for more details | Status disclosure: Telefonica UK Ltd is a Lender and Insurance Intermediary, authorised and regulated by the Financial Conduct Authority | Insurance underwritten by Telefonica Insurance UK Branch, authorised and regulated by the Financial Conduct Authority and the Prudential Regulation Authority.",Titanium Silverblue,512GB,,9171915070113863141,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/3c3e7022-175a-460c-b908-c6d3c7faf485,https://econtent.o2.co.uk/o/econtent/media/get/bae6f399-dfe1-4763-9a0b-e2fefcf40cda,https://econtent.o2.co.uk/o/econtent/media/get/ea3aa5cf-09f7-4157-9efa-83978f1524be,https://econtent.o2.co.uk/o/econtent/media/get/617f99af-46c6-4261-a4a0-9aad02419903,https://econtent.o2.co.uk/o/econtent/media/get/bfb43965-92a5-4e57-8f60-73db54e92e15,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,69.86,Unlimited,24,1248.96,N,1248.96,1249.0,,,,,contract,Unlimited,,£72.36,£74.86,,"Use your call, text and data allowances when roaming in the EU, subject to O2’s fair usage policy | 25GB limit where allowance is 25GB or more | See o2.co.uk/terms.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,73.85,Unlimited Plus,24,1248.96,N,1248.96,1249.0,,,,,contract,Unlimited Plus,,£76.35,£78.85,,"O2 Switch Up is included with Plus Plans and Ultimate Plans at no extra cost, or you can add it to a Classic Plan as a Bolt On for £6.99 a month | With O2 Switch Up, you can swap your current phone for a new one every 90 days | It cannot be used within the first 90 days from purchase | You’ll start a new plan for whichever phone you’ve picked and once we’ve checked your old phone is in good nick, we’ll pay off your existing contract | Your old phone will then be refurbished and given a new home as one of our Like New phones | If your phone doesn’t meet our grading criteria, we’ll let you know what other options are available | For full terms, see: https://www.o2.co.uk/termsandconditions/mobile/o2-switch-up.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,91.85,Unlimited Ultimate,24,1248.96,N,1248.96,1249.0,,,,,contract,Unlimited Ultimate,,£94.35,£96.85,,"Covers repair or replacement of your phone and includes damage (except cosmetic damage), theft (unless left unattended without proof of protection), accidental loss, breakdown (within 3 years of purchase date from O2), accessories purchased from O2 (up to £300) that are accidentally lost, stolen, or damaged at the same time as your phone or device, plus Worldwide cover | Same day delivery, excluding weekends and public holidays, Northern Ireland, certain postcodes in Scotland, Isle of Man and Scilly Isles | Successful claims must be made by 12 noon UK time | Make a claim online at https://www.o2.co.uk/insurance-claim | Repair or Replacement delivery available to a UK address only (Monday to Friday inclusive, exceptions &amp; exclusions apply) | Claims for loss and theft will be settled from refurbished or remanufactured stock | You can cancel at any time via My O2 | See https://www.o2.co.uk/help/digital-services/o2-insurance for more details | Status disclosure: Telefonica UK Ltd is a Lender and Insurance Intermediary, authorised and regulated by the Financial Conduct Authority | Insurance underwritten by Telefonica Insurance UK Branch, authorised and regulated by the Financial Conduct Authority and the Prudential Regulation Authority.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,64.86,250GB,24,1248.96,N,1248.96,1249.0,,,,,contract,250GB,,£67.36,£69.86,,"Use your call, text and data allowances when roaming in the EU, subject to O2’s fair usage policy | 25GB limit where allowance is 25GB or more | See o2.co.uk/terms.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,68.85,400GB Plus,24,1248.96,N,1248.96,1249.0,,,,,contract,400GB Plus,,£71.35,£73.85,,"O2 Switch Up is included with Plus Plans and Ultimate Plans at no extra cost, or you can add it to a Classic Plan as a Bolt On for £6.99 a month | With O2 Switch Up, you can swap your current phone for a new one every 90 days | It cannot be used within the first 90 days from purchase | You’ll start a new plan for whichever phone you’ve picked and once we’ve checked your old phone is in good nick, we’ll pay off your existing contract | Your old phone will then be refurbished and given a new home as one of our Like New phones | If your phone doesn’t meet our grading criteria, we’ll let you know what other options are available | For full terms, see: https://www.o2.co.uk/termsandconditions/mobile/o2-switch-up.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,86.85,400GB Ultimate,24,1248.96,N,1248.96,1249.0,,,,,contract,400GB Ultimate,,£89.35,£91.85,,"Covers repair or replacement of your phone and includes damage (except cosmetic damage), theft (unless left unattended without proof of protection), accidental loss, breakdown (within 3 years of purchase date from O2), accessories purchased from O2 (up to £300) that are accidentally lost, stolen, or damaged at the same time as your phone or device, plus Worldwide cover | Same day delivery, excluding weekends and public holidays, Northern Ireland, certain postcodes in Scotland, Isle of Man and Scilly Isles | Successful claims must be made by 12 noon UK time | Make a claim online at https://www.o2.co.uk/insurance-claim | Repair or Replacement delivery available to a UK address only (Monday to Friday inclusive, exceptions &amp; exclusions apply) | Claims for loss and theft will be settled from refurbished or remanufactured stock | You can cancel at any time via My O2 | See https://www.o2.co.uk/help/digital-services/o2-insurance for more details | Status disclosure: Telefonica UK Ltd is a Lender and Insurance Intermediary, authorised and regulated by the Financial Conduct Authority | Insurance underwritten by Telefonica Insurance UK Branch, authorised and regulated by the Financial Conduct Authority and the Prudential Regulation Authority.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,59.86,50GB,24,1248.96,N,1248.96,1249.0,,,,,contract,50GB,,£62.36,£64.86,,"Use your call, text and data allowances when roaming in the EU, subject to O2’s fair usage policy | 25GB limit where allowance is 25GB or more | See o2.co.uk/terms.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,63.85,100GB Plus,24,1248.96,N,1248.96,1249.0,,,,,contract,100GB Plus,,£66.35,£68.85,,"O2 Switch Up is included with Plus Plans and Ultimate Plans at no extra cost, or you can add it to a Classic Plan as a Bolt On for £6.99 a month | With O2 Switch Up, you can swap your current phone for a new one every 90 days | It cannot be used within the first 90 days from purchase | You’ll start a new plan for whichever phone you’ve picked and once we’ve checked your old phone is in good nick, we’ll pay off your existing contract | Your old phone will then be refurbished and given a new home as one of our Like New phones | If your phone doesn’t meet our grading criteria, we’ll let you know what other options are available | For full terms, see: https://www.o2.co.uk/termsandconditions/mobile/o2-switch-up.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
O2,2025-11-02,,https://www.o2.co.uk/shop/samsung/galaxy-s25-ultra-5g?code=1SAP356SLN,1SAP356SLN,Galaxy S25 Ultra 5G 256GB Titanium Whitesilver,Samsung,Y,30.0,33.86,36,81.85,100GB Ultimate,24,1248.96,N,1248.96,1249.0,,,,,contract,100GB Ultimate,,£84.35,£86.85,,"Covers repair or replacement of your phone and includes damage (except cosmetic damage), theft (unless left unattended without proof of protection), accidental loss, breakdown (within 3 years of purchase date from O2), accessories purchased from O2 (up to £300) that are accidentally lost, stolen, or damaged at the same time as your phone or device, plus Worldwide cover | Same day delivery, excluding weekends and public holidays, Northern Ireland, certain postcodes in Scotland, Isle of Man and Scilly Isles | Successful claims must be made by 12 noon UK time | Make a claim online at https://www.o2.co.uk/insurance-claim | Repair or Replacement delivery available to a UK address only (Monday to Friday inclusive, exceptions &amp; exclusions apply) | Claims for loss and theft will be settled from refurbished or remanufactured stock | You can cancel at any time via My O2 | See https://www.o2.co.uk/help/digital-services/o2-insurance for more details | Status disclosure: Telefonica UK Ltd is a Lender and Insurance Intermediary, authorised and regulated by the Financial Conduct Authority | Insurance underwritten by Telefonica Insurance UK Branch, authorised and regulated by the Financial Conduct Authority and the Prudential Regulation Authority.",Titanium Whitesilver,256GB,,9171915077813863041,shop,samsung,galaxy-s25-ultra-5g,,,,,https://econtent.o2.co.uk/o/econtent/media/get/b9fcd7f9-cb3c-4c5e-9d33-dd03954c6cf0,https://econtent.o2.co.uk/o/econtent/media/get/f3f2bc7b-809e-4808-a280-ee026c979e4e,https://econtent.o2.co.uk/o/econtent/media/get/4c0bccc5-6e9d-45ab-bb84-c392dead4b1c,https://econtent.o2.co.uk/o/econtent/media/get/799f704f-b261-4411-a299-7421a2237f68,https://econtent.o2.co.uk/o/econtent/media/get/878bdeda-e1c8-492f-bf22-570e575f611d,"Launch into the future of Galaxy AI with Galaxy S25 Ultra 5G | Super-intuitive and more epic than ever, Galaxy AI handles a bunch of everyday tasks to free up time for what matters most | The epic Galaxy S25 Ultra 5G – life opens up with Galaxy AI.",,,,,,,,,,,SPECIFICATION,Battery,5000mAh,SPECIFICATION,Dimensions (mm),162.8 x 77.6 x 8.2 (mm),SPECIFICATION,Facial Recognition,Yes,SPECIFICATION,Fingerprint Recognition,Yes,SPECIFICATION,Internal Storage (GB),256GB / 512GB / 1TB,SPECIFICATION,Water Resistance (IP Rating),IP68,SPECIFICATION,Operating System,Android,SPECIFICATION,Processor,Qualcomm SM8750 4.47GHz,SPECIFICATION,Resolution,3120 x 1440,SPECIFICATION,Screen Size (inches),6.9 inches,SPECIFICATION,Type of Display,Dynamic AMOLED 2X,SPECIFICATION,Weight (g),218g,SPECIFICATION,What's In The Box,"Device, USB C Data, Quick Start Guide, Warranty Card, Ejection Pin",,,,,,,,,,,,,,,,,,,,,
